rel_path,file_name,extension,size_bytes,mime_type,mime_source,sha256,width,height,wp_attachment_id,wp_reference_role,wp_parent_post,referenced_in_content,reference_signals,user_content,derived_from,thumbnail_pattern,generated_pattern,duplicate_group_sha,duplicate_group_size,duplicate_keeper,probable_duplicate_group_size,corrupt_signal,classification,wm4_action
2026/05/form.png,form.png,.png,410238,image/png,magic,808717dc99045345e4fcc9c86f35dc0e64f4d2e1430158d758742e0facc4703d,1774,887,690,original,0,no,none,yes,,no,no,,1,,1,,ORIGINAL_UNUSED,EXPORTABLE
2026/05/formation-1-150x150.png,formation-1-150x150.png,.png,19143,image/png,magic,831c45df61f815a953e076acc0e02cf66209058e40cbea81265e36158524bcdb,150,150,960,sized_variant,0,no,none,yes,2026/05/formation-1.png,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/formation-1-240x300.png,formation-1-240x300.png,.png,52624,image/png,magic,2b3905492f8f6f71e06e0639544b4ee73003ca37aaf63c88933736693ec8cc25,240,300,960,sized_variant,0,no,none,yes,2026/05/formation-1.png,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/formation-1-768x960.png,formation-1-768x960.png,.png,408614,image/png,magic,afbab551d6fceaba62488b7f7c47b53dd65c40e0566181c5b1c57ccc3b5a9227,768,960,960,sized_variant,0,no,none,yes,2026/05/formation-1.png,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/formation-1-819x1024.png,formation-1-819x1024.png,.png,462292,image/png,magic,1484209de17555e6a081ff67d873f05e58ea393ab1617c7c119d447845b1d5d7,819,1024,960,sized_variant,0,no,none,yes,2026/05/formation-1.png,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/formation-1.png,formation-1.png,.png,486221,image/png,magic,729b4e2f2ab6fe9075af8a59e317c1da597b99b8f04cd0c9079e57de167fbc86,1122,1402,960,original,0,yes,path_in_content,yes,,no,no,,1,,1,,ORIGINAL_USED,EXPORTABLE
2026/05/formation-cours-1024x546.png,formation-cours-1024x546.png,.png,355719,image/png,magic,34fffdf6bf0bf8520816d3f91a1514cea083153a98694acae8487b87dca5592a,1024,546,886,sized_variant,0,no,none,yes,2026/05/formation-cours.png,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/formation-cours-150x150.png,formation-cours-150x150.png,.png,20150,image/png,magic,24af1f868abdccd585776a3a4e5375104d9b5d87fd12f62ce23bf7bd16a26e09,150,150,886,sized_variant,0,no,none,yes,2026/05/formation-cours.png,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/formation-cours-1536x819.png,formation-cours-1536x819.png,.png,783088,image/png,magic,463e4feb04e5b5a4cea8be13e421b5009a7fe68c170010fa1cb64fc922cd02c2,1536,819,886,sized_variant,0,no,none,yes,2026/05/formation-cours.png,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/formation-cours-300x160.png,formation-cours-300x160.png,.png,39871,image/png,magic,9f3e1b65221a1e4aaed0d01a5b05b7457bf9c77c3ddede5838eae350ecc7436c,300,160,886,sized_variant,0,no,none,yes,2026/05/formation-cours.png,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/formation-cours-768x410.png,formation-cours-768x410.png,.png,209398,image/png,magic,fb9178168d8b1b46f5f6095b49d3f2c56f090543e96c2cb5c959a8e3684bbf8f,768,410,886,sized_variant,0,no,none,yes,2026/05/formation-cours.png,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/formation-cours.png,formation-cours.png,.png,546748,image/png,magic,f0ccd6521df9a362c8e280f5e98ef9f370a48c82246e7f2c213008f8e0d63225,1717,916,886,original,0,no,none,yes,,no,no,,1,,1,,ORIGINAL_UNUSED,EXPORTABLE
2026/05/jeunesse-1024x546.png,jeunesse-1024x546.png,.png,328976,image/png,magic,eeb9745e7cedd529cd2d8f5af5a982fe696f090e1155264b89b28df1d06c77a5,1024,546,944,sized_variant,0,no,none,yes,2026/05/jeunesse.png,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/jeunesse-150x150.png,jeunesse-150x150.png,.png,19873,image/png,magic,b88d44d56b6fc904b5d08051eb2641fa5f1739c87141b457b96c0a8943a68fbe,150,150,944,sized_variant,0,no,none,yes,2026/05/jeunesse.png,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/jeunesse-1536x819.png,jeunesse-1536x819.png,.png,726897,image/png,magic,5c04eaab586bc6709b7d9e7c46a6cdf59f066af6b185fe04d2543b94eaa61d2f,1536,819,944,sized_variant,0,no,none,yes,2026/05/jeunesse.png,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/jeunesse-300x160.png,jeunesse-300x160.png,.png,39623,image/png,magic,2b09be03d401f51435a360bb0d02aa4c753318e0133a273f5dec92f6ae1d9ba5,300,160,944,sized_variant,0,no,none,yes,2026/05/jeunesse.png,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/jeunesse-768x410.png,jeunesse-768x410.png,.png,197479,image/png,magic,7651692502a140641de4dbc8f1bb81b452e4a365fb04ae82825bc08c88fab8a6,768,410,944,sized_variant,0,no,none,yes,2026/05/jeunesse.png,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/jeunesse.png,jeunesse.png,.png,567702,image/png,magic,1d24afc141be41064867d338439159103f2a7a3a2edeb7e1f70c25acfba98b68,1717,916,944,original,0,yes,path_in_content,yes,,no,no,,1,,1,,ORIGINAL_USED,EXPORTABLE
2026/05/kephale-1024x576.png,kephale-1024x576.png,.png,276817,image/png,magic,43a2ee75fd24c1ae2f940be8ddddd85de25afaa8a83776ae821958aece0697d5,1024,576,701,sized_variant,0,no,none,yes,2026/05/kephale.png,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/kephale-150x150.png,kephale-150x150.png,.png,15581,image/png,magic,1622355decad9adcdc7d1d6767fc6254dd6968f4964241b537a69bbfa724d67f,150,150,701,sized_variant,0,no,none,yes,2026/05/kephale.png,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/kephale-1536x864.png,kephale-1536x864.png,.png,598679,image/png,magic,966aa4c9f5c1b38824c498fbfb9dbeb7d2102282d31feec7ef167e380e34c11b,1536,864,701,sized_variant,0,no,none,yes,2026/05/kephale.png,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/kephale-300x169.png,kephale-300x169.png,.png,31447,image/png,magic,0d3c2709c54be930385f4bdefb7d34ee110c39c30ab09e31899be542f89afdbd,300,169,701,sized_variant,0,no,none,yes,2026/05/kephale.png,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
